Country (code),Country,Year,Sex,Youth unemployed ('000),Youth labour force ('000),Youth unemployment rate (%),Adult unemployed ('000),Adult labour force ('000),Ratio of youth unemployment rate to adult unemployment rate,Total unemployed ('000),Share of youth unemployed in total unemployed (%),Youth population ('000),Share of youth unemployed in youth population (%),Adult unemployment rate (%),Repository (code),Type of source (code),Coverage (code),Age,Notes
AL,Albania,2001,MF,  111.799,  315.3,35.5,  193.707, 1 031.8,1.9,  305.506,36.6,  527.4,21.2,18.8,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: April
AL,Albania,2007 b,MF,,,20.1,,,1.7,,,,,12.0,NSO,LFS,T,Youth: 15-24; Adult: 25-64,
AL,Albania,2008,MF,,,27.2,,,2.5,,,,,10.9,NSO,LFS,T,Youth: 15-24; Adult: 25-64,
AL,Albania,2009,MF,,,27.2,,,2.4,,,,,11.3,NSO,LFS,T,Youth: 15-24; Adult: 25-64,
DZ,Algeria,2001,MF, 1 081.4, 2 264.3,47.8, 1 258.1, 6 304.3,2.4, 2 339.5,46.2,,,20.0,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: September
DZ,Algeria,2003,MF,  996.0,,, 1 082.3,,, 2 078.3,47.9,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: September
DZ,Algeria,2004,MF,  762.3, 1 756.3,43.4,  909.2, 6 564.1,3.1, 1 671.5,45.6,,,13.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: September
DZ,Algeria,2005,MF,  699.1, 2 249.6,31.1,  775.5, 7 406.4,3.0, 1 474.6,47.4,,,10.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: September
DZ,Algeria,2006,MF,  536.4, 2 207.5,24.3,  704.4, 7 902.2,2.7, 1 240.8,43.2,,,8.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: September
AS,American Samoa,1990,MF,  0.31,  2.6,11.9,  0.416,  11.9,3.4,  0.726,42.7,  8.5,3.6,3.5,LABORSTA,PC,T,Youth: 16-24; Adult: 25+,Reference period: April
AI,Anguilla,1992,MF,  0.18,  1.1,16.4,  0.16,  3.35,3.4,  0.34,52.9,,,4.8,CARIBBEAN,PC,T,Youth: 15-24; Adult: 25+,
AI,Anguilla,2001 b,MF,  0.149,  1.118,13.3,  0.248,  4.931,2.6,  0.397,37.5,  1.756,8.5,5.0,LABORSTA,PC,C,Youth: 15-24; Adult: 25+,Reference period: May
AG,Antigua and Barbuda,1991,MF,  0.845,  6.445,13.1,  0.94,  23.2,3.2,  1.78,47.5,,,4.1,CARIBBEAN,PC,T,Youth: 15-24; Adult: 25+,Reference period: May
AG,Antigua and Barbuda,2001 b,MF,  1.253,  6.3,19.9,  2.075,  33.1,3.2,  3.328,37.7,  12.4,10.1,6.3,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: May
AR,Argentina,1980,MF,  41.1,,,  41.1,,,  82.2,50.0,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1981,MF,  73.7,,,  101.2,,,  174.9,42.1,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1982,MF,  78.1,,,  105.6,,,  183.7,42.5,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1983,MF,  80.8,,,  78.6,,,  159.4,50.7,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1984,MF,  72.1,,,  80.0,,,  152.1,47.4,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1985,MF,  95.3,,,  120.9,,,  216.2,44.1,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1990 b,MF,  112.94,  866.58,13.0,  155.14, 3 641.37,3.1,  268.08,42.1, 1 674.25,6.7,4.3,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1991,MF,  100.93,  898.58,11.2,  129.96, 3 527.72,3.0,  230.89,43.7, 1 721.95,5.9,3.7,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1992,MF,  122.16,  970.75,12.6,  180.22, 3 610.56,2.5,  302.39,40.4, 1 841.5,6.6,5.0,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1993,MF,  202.29, 1 023.06,19.8,  257.98, 3 792.38,2.9,  460.27,44.0, 1 928.22,10.5,6.8,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1994,MF,  244.07, 1 071.9,22.8,  395.92, 3 854.64,2.2,  640.0,38.1, 1 982.28,12.3,10.3,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1996,MF,  384.31, 1 158.58,33.2,  586.21, 4 010.45,2.3,  970.53,39.6, 2 080.82,18.5,14.6,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1997,MF,  263.02, 1 085.69,24.2,  487.96, 4 173.19,2.1,  750.99,35.0, 2 046.21,12.9,11.7,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1998,MF,  250.71, 1 076.87,23.3,  456.96, 4 259.99,2.2,  707.67,35.4, 2 152.75,11.6,10.7,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1999,MF,  262.49, 1 095.33,24.0,  526.94, 4 369.18,2.0,  789.43,33.3, 2 216.2,11.8,12.1,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,2000,MF,  268.76, 1 038.43,25.9,  526.57, 4 357.61,2.1,  795.33,33.8, 2 091.84,12.8,12.1,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,2001,MF,  322.3, 1 013.47,31.8,  705.37, 4 350.77,2.0, 1 027.67,31.4, 2 205.53,14.6,16.2,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,2002 b,MF,  638.0,,, 1 315.0,,, 1 953.0,32.7,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Second semester
Geographic limitation: 28 urban agglomerations"
AR,Argentina,2003,MF,  642.4, 1 822.2,35.3,  983.4, 8 320.4,3.0, 1 625.8,39.5, 4 369.3,14.7,11.8,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Second semester
Geographic limitation: 28 urban agglomerations
Survey limitation: Methodology revised; data not strictly comparable."
AR,Argentina,2004,MF,  542.2, 1 963.7,27.6,  814.3, 8 776.4,3.0, 1 356.5,40.0, 4 181.8,13.0,9.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Second semester
Geographic limitation: 28 urban agglomerations"
AR,Argentina,2005,MF,  450.1, 1 859.9,24.2,  687.8, 8 877.6,3.1, 1 137.9,39.6, 4 083.3,11.0,7.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Second semester
Geographic limitation: 28 urban agglomerations"
AR,Argentina,2006 b,MF,  459.8, 1 966.1,23.4,  584.9, 9 085.5,3.6, 1 044.7,44.0, 4 281.7,10.7,6.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Second semester
Geographic limitation: 31 urban agglomerations"
AR,Argentina,2007 b,MF,  381.434, 1 880.612,20.3,  563.434, 9 240.583,3.3,  944.869,40.4, 4 220.022,9.0,6.1,NSO,LFS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of first, second and fourth quarters
Geographic limitation: 31 urban agglomerations"
AR,Argentina,2008,MF,  340.749, 1 808.985,18.8,  533.435, 9 345.004,3.3,  874.184,39.0, 4 251.251,8.0,5.7,NSO,LFS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of quarterly estimates
Geographic limitation: 31 urban agglomerations"
AR,Argentina,2009,MF,  380.077, 1 795.756,21.2,  604.305, 9 590.503,3.4,  984.381,38.6, 4 236.632,9.0,6.3,NSO,LFS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of quarterly estimates
Geographic limitation: 31 urban agglomerations"
AM,Armenia,2001,MF,  154.6,  321.0,48.2,  416.0, 1 270.5,1.5,  570.6,27.1,  582.0,26.6,32.7,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: October
AM,Armenia,2007 b,MF,  153.8,  267.1,57.6,  317.0, 1 392.2,2.5,  470.8,32.7,,,22.8,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Coverage limitation: Excluding conscripts
AM,Armenia,2008 b,MF,  88.4,  194.3,45.5,  216.4, 1 118.4,2.4,  304.9,29.0,  548.87,16.1,19.3,NSO,LFS,T,Youth: 15-24; Adult: 25-75,Reference period: July
AW,Aruba,1991,MF,  0.513,  4.279,12.0,  1.373,  26.732,2.3,  1.886,27.2,  8.913,5.8,5.1,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: October
AW,Aruba,1994 b,MF,  0.51,  4.53,11.3,  1.97,  32.7,1.9,  2.48,20.6,,,6.0,CARIBBEAN,HS,T,Youth: 15-24; Adult: 25+,
AW,Aruba,1997,MF,  1.02,  5.01,20.4,  2.25,  38.53,3.5,  3.28,31.1,,,5.8,CARIBBEAN,HS,T,Youth: 15-24; Adult: 25+,
AW,Aruba,2000 b,MF,  0.728,,,  2.39,,,  3.118,23.3,,,,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: October
AW,Aruba,2007 b,MF,  1.378,  5.929,23.2,  1.745,  48.8,6.5,  3.123,44.1,  13.255,10.4,3.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: October
AU,Australia,1980,MF,  230.106, 1 837.097,12.5,  178.505, 4 855.784,3.4,  408.611,56.3, 2 545.327,9.0,3.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
